discount_id,name,is_seasonal,percent_off,previous_percent_off
1000000,In-Store Only,True,62,
1000001,Quantity Discount,False,6,29.0
1000002,Student Discount,False,50,
1000003,Quantity Discount,False,20,
1000004,Senior Discount,False,40,
1000005,Special Promotion,True,48,
1000006,In-Store Only,True,33,
1000007,Quantity Discount,True,52,
1000008,Birthday Discount,False,12,
1000009,Birthday Discount,True,67,
1000010,Employee Discount,True,37,
1000011,First Purchase Discount,False,59,
1000012,Seasonal Clearance,False,41,
1000013,Student Discount,False,10,
1000014,Holiday Special,False,36,46.0
1000015,Holiday Special,True,55,
1000016,Online Exclusive,False,29,
1000017,Member Appreciation,False,18,
1000018,Summer Sale,True,9,
1000019,Employee Discount,False,45,67.0
1000020,Student Discount,True,28,
1000021,Seasonal Clearance,True,37,47.0
1000022,Online Exclusive,True,27,
1000023,Special Promotion,True,50,
1000024,End of Month Deal,True,61,58.0
1000025,Newsletter Subscriber Deal,False,13,
1000026,Newsletter Subscriber Deal,True,29,
1000027,Special Promotion,True,17,
1000028,Bundle Discount,False,10,
1000029,Referral Bonus,True,66,
1000030,Online Exclusive,False,30,
1000031,Anniversary Discount,False,38,
1000032,First Purchase Discount,False,10,26.0
1000033,New Customer Bonus,False,67,40.0
1000034,New Customer Bonus,False,65,
1000035,VIP Discount,True,23,
1000036,Senior Discount,True,13,13.0
1000037,Seasonal Clearance,True,49,
1000038,Tiered Discount (Silver),False,60,
1000039,New Customer Bonus,True,58,32.0
1000040,Summer Sale,False,60,
1000041,Referral Bonus,True,36,
1000042,Price Drop,True,8,
1000043,Summer Sale,True,14,
1000044,Tiered Discount (Silver),True,9,
1000045,End of Month Deal,False,16,44.0
1000046,In-Store Only,True,46,
1000047,Summer Sale,False,31,
1000048,Member Appreciation,True,10,
1000049,Quantity Discount,False,47,
1000050,Online Exclusive,False,18,
1000051,Referral Bonus,False,45,
1000052,In-Store Only,False,66,31.0
1000053,Seasonal Clearance,True,24,
1000054,Tiered Discount (Silver),False,23,
1000055,Online Exclusive,False,63,
1000056,In-Store Only,True,12,
1000057,Limited Time Offer,False,61,
1000058,Tiered Discount (Silver),True,36,6.0
1000059,In-Store Only,False,26,
1000060,Birthday Discount,False,28,
1000061,Loyalty Reward,True,18,
1000062,Tiered Discount (Gold),False,19,
1000063,In-Store Only,True,49,
1000064,Quantity Discount,True,42,
1000065,Weekend Offer,False,21,
1000066,Anniversary Discount,True,52,23.0
1000067,Employee Discount,True,30,
1000068,New Customer Bonus,True,30,
1000069,Newsletter Subscriber Deal,True,31,9.0
1000070,Early Bird Savings,False,18,
1000071,Senior Discount,True,65,
1000072,In-Store Only,True,41,
1000073,Military Discount,False,24,62.0
1000074,Employee Discount,False,9,
1000075,Seasonal Clearance,False,30,
1000076,Holiday Special,True,41,
1000077,Senior Discount,True,38,
1000078,Loyalty Reward,True,30,
1000079,New Customer Bonus,True,66,
1000080,Special Promotion,False,7,
1000081,Referral Bonus,False,41,
1000082,Anniversary Discount,False,49,
1000083,First Purchase Discount,True,43,
1000084,Senior Discount,True,24,
1000085,VIP Discount,False,33,37.0
1000086,Anniversary Discount,True,45,
1000087,Senior Discount,False,31,
1000088,Flash Sale,True,13,
1000089,Employee Discount,True,42,
1000090,Tiered Discount (Gold),True,12,
1000091,Weekend Offer,True,70,
1000092,Online Exclusive,True,35,
1000093,Birthday Discount,False,10,
1000094,VIP Discount,False,52,
1000095,Limited Time Offer,False,28,
1000096,Early Bird Savings,True,63,
1000097,In-Store Only,True,9,
1000098,Tiered Discount (Silver),True,67,
1000099,Early Bird Savings,True,17,
1000100,End of Month Deal,True,5,65.0
1000101,Member Appreciation,True,24,
1000102,Birthday Discount,False,23,
1000103,Bundle Discount,False,63,
1000104,Newsletter Subscriber Deal,False,6,30.0
1000105,Tiered Discount (Silver),False,61,
1000106,In-Store Only,True,67,
1000107,Holiday Special,False,39,
1000108,Loyalty Reward,False,26,
1000109,Quantity Discount,False,10,
1000110,Flash Sale,False,18,
1000111,Price Drop,True,51,
1000112,Back to School Discount,False,55,
1000113,Seasonal Clearance,True,38,
1000114,Newsletter Subscriber Deal,True,36,
1000115,Holiday Special,True,26,8.0
1000116,Birthday Discount,False,53,
1000117,Member Appreciation,False,18,51.0
1000118,Referral Bonus,False,48,
1000119,Referral Bonus,True,64,
1000120,Weekend Offer,False,33,35.0
1000121,Flash Sale,False,50,
1000122,Newsletter Subscriber Deal,True,31,
1000123,Holiday Special,False,24,6.0
1000124,Holiday Special,True,63,
1000125,VIP Discount,False,52,
1000126,Early Bird Savings,False,34,53.0
1000127,Limited Time Offer,False,36,
1000128,Online Exclusive,True,6,
1000129,Price Drop,True,65,
1000130,End of Month Deal,False,40,
1000131,Tiered Discount (Gold),True,26,
1000132,Early Bird Savings,False,15,
1000133,Employee Discount,False,6,19.0
1000134,Senior Discount,False,56,32.0
1000135,Military Discount,True,51,
1000136,Back to School Discount,False,40,
1000137,Senior Discount,False,22,
1000138,Back to School Discount,True,20,
1000139,Student Discount,False,27,
1000140,Weekend Offer,True,10,
1000141,Employee Discount,False,5,
1000142,First Purchase Discount,False,52,
1000143,In-Store Only,True,40,
1000144,Newsletter Subscriber Deal,False,52,
1000145,Early Bird Savings,True,47,39.0
1000146,Bundle Discount,False,17,
1000147,Birthday Discount,False,37,
1000148,Limited Time Offer,False,51,
1000149,Price Drop,False,28,
1000150,Member Appreciation,True,24,
1000151,In-Store Only,True,46,
1000152,Quantity Discount,False,56,
1000153,Seasonal Clearance,False,36,
1000154,Birthday Discount,True,9,
1000155,Birthday Discount,False,53,
1000156,Limited Time Offer,True,68,
1000157,Summer Sale,True,20,
1000158,VIP Discount,False,20,
1000159,Early Bird Savings,False,6,
1000160,Early Bird Savings,False,23,
1000161,Senior Discount,False,50,
1000162,Summer Sale,True,11,
1000163,Quantity Discount,False,67,41.0
