item_id,name,price,category_id,placement,start_date,end_date
800000,Tank Top,128.02,587,Aisle 10,2023-06-04,
800001,Headphones,67.14,670,Aisle 3,2024-02-03,
800002,Skirt,76.34,413,Aisle 3,2023-02-14,
800003,Candle,48.08,245,Aisle 11,2023-03-30,
800004,Towel,47.16,545,Aisle 14,2023-12-13,
800005,Sweater,61.03,336,Aisle 14,2023-11-12,
800006,T-Shirt,125.01,749,Checkout Counter,2024-11-20,
800007,Lotion,131.69,806,Display Table,2023-04-03,
800008,Pants,64.03,345,Aisle 3,2023-12-19,
800009,Dress,42.89,668,Aisle 19,2023-05-02,
800010,Lotion,38.28,530,Aisle 12,2023-01-28,
800011,Polo Shirt,70.35,552,Aisle 13,2023-01-31,
800012,Soap,33.53,496,End Cap B,2024-01-12,
800013,Scarf,52.9,990,Aisle 19,2023-10-10,
800014,Sports Jersey,103.63,726,Aisle 8,2023-08-16,
800015,Phone Case,112.75,165,Aisle 20,2023-12-18,
800016,Cap,21.39,656,Aisle 12,2024-09-07,
800017,Sunglasses,9.42,851,Aisle 16,2023-03-09,
800018,Hoodie,69.16,143,End Cap A,2024-06-23,
800019,Skirt,123.55,516,Aisle 11,2024-11-03,
800020,Headphones,143.69,398,End Cap A,2024-07-05,
800021,Hoodie,126.18,214,Aisle 10,2024-02-03,
800022,Jeans,95.28,840,Aisle 9,2024-08-09,
800023,Shorts,102.96,266,Aisle 7,2023-11-12,
800024,USB Cable,70.52,569,Aisle 18,2024-02-17,
800025,Headphones,30.49,918,Aisle 5,2024-12-22,
800026,Sweater,129.14,190,End Cap C,2024-01-04,
800027,Dumbbells,132.97,272,Aisle 20,2023-04-12,
800028,Sweater,123.08,255,Aisle 14,2024-02-09,
800029,Coffee Mug,75.21,297,Aisle 8,2023-05-02,
800030,Jeans,145.0,712,Aisle 9,2024-03-09,
800031,Resistance Bands,102.32,700,Aisle 4,2023-01-27,
800032,Water Bottle,29.27,539,Aisle 16,2023-10-25,
800033,Notebook,41.95,200,Aisle 18,2024-09-29,
800034,Headphones,123.98,654,End Cap A,2024-06-08,
800035,Cap,131.66,581,Aisle 3,2023-04-06,
800036,Jeans,145.2,952,Aisle 18,2023-11-06,
800037,Headphones,94.07,549,Aisle 12,2023-02-05,
800038,Tank Top,118.21,640,Aisle 4,2024-12-21,
800039,Hoodie,118.26,177,Aisle 5,2024-09-30,
800040,Blanket,22.41,719,Aisle 15,2023-07-22,
800041,Scarf,113.67,381,Aisle 12,2024-05-01,
800042,Pen Set,23.93,116,Aisle 8,2023-06-13,
800043,Button-Down Shirt,45.05,840,Aisle 2,2024-12-09,
800044,Scarf,115.82,996,Aisle 17,2023-09-13,
800045,Tank Top,131.45,934,Aisle 7,2024-04-15,
800046,Water Bottle,146.94,279,Aisle 20,2024-07-24,
800047,Socks,37.23,266,Aisle 16,2024-04-25,
800048,Soap,69.56,967,End Cap E,2024-02-23,
800049,Pen Set,143.95,828,Aisle 1,2023-02-27,
800050,Button-Down Shirt,132.51,204,Aisle 17,2023-07-29,
800051,Sunglasses,38.77,171,Aisle 4,2023-10-21,
800052,Basketball,50.02,440,Aisle 2,2024-03-28,
800053,Jacket,50.86,526,End Cap C,2023-06-10,
800054,Socks,142.03,260,Aisle 20,2023-06-26,
800055,Hat,15.34,698,Aisle 1,2024-08-26,
800056,Hoodie,110.17,643,End Cap B,2023-12-29,
800057,Lotion,46.04,788,Aisle 5,2024-10-13,
800058,Socks,56.88,595,Aisle 17,2023-02-09,
800059,Sneakers,35.55,847,Aisle 2,2024-03-13,
800060,Polo Shirt,24.99,229,Aisle 12,2024-02-16,
800061,Headphones,72.44,908,Aisle 8,2023-07-07,
800062,Towel,140.84,777,End Cap A,2024-12-17,
800063,Water Bottle,42.3,671,Aisle 18,2024-05-26,
800064,Lotion,141.32,957,Aisle 15,2024-11-10,
800065,Leggings,107.01,884,Aisle 14,2023-04-20,
800066,Sports Jersey,144.46,343,Aisle 18,2023-07-01,
800067,Dress,95.65,676,Aisle 4,2024-11-15,
800068,Polo Shirt,31.63,316,Aisle 18,2023-07-14,
800069,Tennis Racket,62.46,477,Aisle 11,2023-02-02,
800070,USB Cable,36.5,980,Aisle 8,2024-12-09,
800071,Jacket,110.3,295,Aisle 7,2024-06-07,
800072,Blanket,118.84,526,Aisle 15,2023-04-22,
800073,Lotion,71.17,153,Aisle 7,2024-08-25,
800074,Yoga Mat,148.74,485,Aisle 2,2023-03-17,
800075,Cap,48.08,358,End Cap D,2023-05-08,
800076,Dress,22.09,726,Aisle 9,2024-03-30,
800077,Sunglasses,123.42,135,Aisle 19,2023-03-01,
800078,Shorts,149.71,372,Aisle 1,2024-08-28,
800079,Football,95.96,914,Aisle 19,2023-02-25,
800080,Gloves,48.77,307,Aisle 5,2024-08-20,
800081,Jeans,39.46,582,Aisle 2,2024-09-06,
800082,Headphones,37.19,722,Aisle 8,2024-08-06,
800083,Jacket,30.4,625,Aisle 9,2024-03-17,
800084,Beanie,135.0,810,Aisle 12,2024-03-31,
800085,Soap,46.19,464,Aisle 9,2024-06-04,
800086,Resistance Bands,59.09,945,Aisle 3,2024-12-23,
800087,Wallet,72.47,427,Checkout Counter,2023-10-18,
800088,USB Cable,23.2,683,Aisle 1,2024-12-12,
800089,Tennis Racket,48.82,226,Aisle 14,2024-09-24,
800090,Hat,9.74,119,Aisle 16,2024-03-14,
800091,Candle,45.87,583,Aisle 20,2023-08-10,
800092,Dumbbells,32.8,142,Aisle 1,2023-07-30,
800093,Tennis Racket,119.51,793,Aisle 2,2023-04-23,
800094,Dress,141.98,993,End Cap B,2023-12-29,
800095,Coffee Mug,11.58,407,Aisle 16,2023-02-25,
800096,Water Bottle,137.47,106,End Cap B,2023-09-02,
800097,Candle,84.17,234,Aisle 9,2023-06-16,
800098,Skirt,86.3,844,Aisle 8,2023-06-22,
800099,Jeans,74.53,733,End Cap D,2024-06-07,
800100,Yoga Mat,93.99,509,Aisle 19,2023-11-16,
800101,Phone Case,115.64,852,Aisle 14,2024-02-28,
800102,Pen Set,114.42,191,Display Table,2023-11-07,
800103,Notebook,34.15,351,Aisle 6,2023-07-09,
800104,Backpack,72.7,281,Checkout Counter,2024-04-01,
800105,T-Shirt,73.89,505,Display Table,2024-06-17,
800106,Tank Top,106.75,339,Aisle 4,2024-01-06,
800107,Resistance Bands,132.01,352,Aisle 1,2023-10-19,
800108,Cap,50.56,132,End Cap E,2023-08-14,
800109,Shorts,23.48,566,Aisle 3,2023-04-22,
800110,Headphones,58.53,184,End Cap D,2023-02-15,
800111,Hoodie,27.15,171,Aisle 7,2024-09-02,
800112,Cap,67.77,290,Aisle 18,2023-11-22,
800113,Tennis Racket,99.05,832,Aisle 20,2024-08-14,
800114,Soap,97.94,699,Aisle 20,2024-05-27,
800115,Polo Shirt,130.02,500,End Cap A,2023-12-31,
800116,Sweater,87.14,146,Aisle 10,2024-09-03,
800117,Skirt,128.56,421,Aisle 14,2024-07-07,
800118,Hat,116.04,124,End Cap A,2023-05-09,
800119,Leggings,69.71,467,Aisle 12,2024-04-24,
800120,Wallet,77.78,853,Aisle 5,2024-10-17,
800121,Dress,149.1,951,Aisle 19,2024-11-23,
800122,Notebook,52.05,618,End Cap C,2024-08-05,
800123,Tennis Racket,23.24,218,Display Table,2023-03-20,
800124,Gloves,14.6,604,Aisle 17,2023-10-17,
800125,Tank Top,108.06,446,Display Table,2024-11-04,
800126,Dumbbells,49.65,223,Aisle 14,2023-08-26,
800127,Sweater,35.67,127,Aisle 11,2023-11-07,
800128,Jeans,122.36,736,Checkout Counter,2024-01-23,
800129,Hat,33.33,923,Aisle 14,2023-01-22,
800130,Yoga Mat,47.06,211,Aisle 13,2024-08-29,
800131,Headphones,145.81,738,End Cap D,2024-04-14,
800132,Leggings,15.45,346,End Cap A,2023-12-31,
800133,Hat,87.27,475,End Cap B,2023-03-10,
800134,Basketball,110.76,820,Aisle 11,2024-12-27,
800135,Headphones,50.86,715,Aisle 10,2023-05-14,
800136,Lotion,117.67,265,Aisle 19,2024-07-07,
800137,Basketball,138.9,920,Aisle 5,2024-03-10,
800138,Dress,115.39,489,Checkout Counter,2024-08-25,
800139,Candle,145.66,940,Aisle 13,2023-12-06,
800140,Backpack,64.03,529,Aisle 1,2023-07-19,
800141,Notebook,44.89,786,Aisle 1,2024-11-21,
800142,Shorts,144.12,418,End Cap D,2023-12-23,
800143,Dumbbells,95.66,593,Aisle 8,2024-08-28,
800144,Sports Jersey,101.27,256,Aisle 19,2023-11-09,
800145,Beanie,123.58,961,Aisle 11,2024-05-19,
800146,USB Cable,105.59,332,Aisle 17,2024-09-25,
800147,Scarf,149.12,894,Aisle 7,2023-06-27,
800148,Sports Jersey,27.4,951,Aisle 8,2024-05-04,
800149,Blanket,56.62,569,Aisle 19,2023-09-06,
800150,Resistance Bands,143.6,616,Aisle 20,2023-11-05,
800151,Towel,9.26,905,Aisle 6,2024-09-27,
800152,Wallet,32.73,404,Aisle 4,2023-05-24,
800153,Charger,10.92,907,End Cap A,2023-02-19,
800154,Football,106.54,202,Aisle 10,2024-01-31,
800155,Sneakers,119.79,356,Aisle 17,2023-11-15,
800156,Backpack,126.93,306,Aisle 8,2024-08-21,
800157,Leggings,54.1,235,Aisle 8,2024-11-04,
800158,Phone Case,97.74,556,End Cap C,2023-05-31,
800159,Sweater,85.7,783,Aisle 1,2024-05-19,
800160,Tennis Racket,61.4,909,Aisle 20,2023-06-10,
800161,Soap,96.1,632,Aisle 12,2023-02-23,
800162,Basketball,134.7,846,End Cap C,2023-11-19,
800163,Jacket,125.94,655,Aisle 6,2023-12-29,
800164,Sunglasses,15.0,175,Aisle 16,2023-11-06,
800165,Hoodie,25.23,415,End Cap D,2023-03-23,
800166,Wallet,132.69,797,Aisle 6,2024-11-21,
800167,Sweater,109.58,428,Aisle 16,2023-04-06,
800168,Belt,35.6,335,Aisle 2,2023-12-14,
800169,USB Cable,41.74,322,Aisle 12,2023-02-19,
800170,Pillow,42.97,763,Aisle 20,2023-05-19,
800171,Sweater,109.14,360,Aisle 1,2023-11-10,
800172,Lotion,131.48,351,End Cap C,2023-07-25,
800173,Wallet,38.37,788,Checkout Counter,2023-08-04,
800174,Soccer Ball,54.87,789,Aisle 9,2023-04-14,
800175,Jeans,51.22,159,Aisle 16,2024-08-23,
800176,Sneakers,51.98,337,Aisle 3,2024-12-18,
800177,Soccer Ball,63.91,839,Aisle 15,2023-02-08,
800178,Tennis Racket,79.17,373,Aisle 1,2024-04-25,
800179,Tank Top,109.61,384,Aisle 16,2024-07-05,
800180,Basketball,82.88,967,Aisle 17,2023-12-05,
800181,Water Bottle,140.91,231,Aisle 14,2024-03-02,
800182,Scarf,31.63,819,Checkout Counter,2023-07-15,
800183,Polo Shirt,131.32,990,End Cap C,2023-07-03,
800184,Notebook,28.03,591,Aisle 1,2023-06-17,
800185,Yoga Mat,84.74,816,Aisle 14,2024-07-04,
800186,Belt,118.31,929,Aisle 5,2024-08-09,
800187,Hoodie,68.02,126,Aisle 18,2024-07-15,
800188,Sneakers,47.87,966,Aisle 14,2024-10-04,
800189,Jeans,10.29,736,Aisle 3,2023-08-31,
800190,Notebook,49.83,364,Aisle 17,2023-10-13,
800191,Wallet,63.26,258,Aisle 13,2023-09-19,
800192,Sweater,95.93,362,Aisle 15,2023-08-06,
800193,Jeans,120.5,150,Aisle 16,2024-05-01,
800194,Resistance Bands,25.35,204,Aisle 5,2023-06-07,
800195,Cap,82.64,720,Aisle 2,2023-10-01,
800196,Jeans,142.53,684,Aisle 12,2023-03-30,
800197,Soap,115.72,145,Aisle 7,2023-10-01,
800198,Pillow,55.11,352,Aisle 19,2023-08-03,
800199,Scarf,60.78,120,Aisle 4,2024-07-22,
800200,Candle,52.69,208,Aisle 18,2024-07-04,
800201,Towel,105.8,195,Aisle 8,2024-07-19,
800202,Yoga Mat,76.73,906,Aisle 20,2023-02-23,
800203,Backpack,137.3,526,Aisle 5,2024-12-17,
800204,Towel,48.5,728,Display Table,2023-06-20,
800205,Skirt,62.61,875,Aisle 6,2024-05-18,
800206,Water Bottle,18.86,495,Aisle 12,2023-05-20,
800207,Yoga Mat,128.31,321,End Cap E,2023-05-06,
800208,Sports Jersey,47.46,581,Aisle 16,2023-09-04,
800209,Pen Set,101.93,246,Aisle 9,2023-11-16,
800210,Yoga Mat,65.44,729,End Cap B,2023-08-17,
800211,Pen Set,52.61,614,Aisle 2,2024-05-31,
800212,Lotion,117.75,876,Checkout Counter,2023-05-25,
800213,Beanie,26.51,239,Aisle 16,2024-05-17,
