transaction_id,item_id,date_sold,employee_id,quantity_sold,discount_id
jl3xr9qz865r,801623,2023-03-29,519163,4,1002914
4y33s6bk0v2m,803198,2023-03-04,506873,1,1001638
dmph0ndm0s0g,808962,2024-10-22,509324,1,1003930
gju9yy4nefdv,805210,2025-02-23,502754,9,1002263
3lgxy00e4xnl,809394,2025-03-30,500204,3,1002276
tllr7bdrk5cf,802414,2024-08-15,516102,3,1001026
8wrc0p7cruqu,804649,2025-02-18,511068,10,1004649
ke57qwc18ywf,807392,2024-12-06,512626,4,1003528
103l3crq2go3,801072,2024-09-14,512151,5,1003839
q86rrzcrvewm,807917,2024-10-14,517058,1,1000183
2qepgh4e06dl,801170,2024-12-14,518911,3,1003525
rwuqxxqvp8ho,801947,2025-02-08,509516,6,1003612
udvrl47ik9b3,809790,2025-01-12,504297,2,1003526
l2qc5f562uvr,807089,2024-11-27,519259,6,1004676
8nul5hdmems7,809753,2024-05-02,516918,5,1002380
110q4xg2edrr,809775,2024-03-22,511895,10,1003683
oc7oy5klx00m,808744,2024-12-22,507513,3,1002178
mrta8a7ultv0,807413,2024-10-16,503818,1,1002441
36fn1gstf458,809154,2024-11-30,504254,9,1004495
y5840znde0ou,801005,2023-09-15,519553,2,1002349
ihdws6cvmjty,801657,2024-07-15,512638,5,1000775
253hn0gf03nu,807036,2025-04-09,509890,9,1002864
ofjk7a328c3b,800391,2024-03-17,515323,3,1001767
na5c8mw5osi3,800285,2024-05-15,518790,7,1000653
xjo4g13ueeod,800205,2024-10-11,504093,4,1004996
qtm6ge84dlfz,805765,2025-03-27,502875,5,1003065
tgyrfq7kji8s,808766,2024-12-30,512721,10,1000275
7cvta157pkh7,805824,2025-03-16,506581,9,1000270
2qdjgqoeif95,802720,2024-09-03,511471,8,1001657
zx32tvx5ccbv,807038,2025-01-25,505554,8,1004967
5xlh7ou6t3vp,809821,2024-01-17,510876,6,1001658
ul9gtgls6alr,800005,2024-02-12,507786,8,1003429
2wi88x42ld9u,804299,2024-10-27,508305,3,1003592
j61y6le71kqh,801362,2023-04-05,501415,2,1002879
tzd10720alpf,809797,2024-12-11,503681,3,1001638
os7r6y8wn17s,803122,2024-09-26,504803,8,1001690
0vz9u74mglda,802925,2023-11-09,510959,1,1001123
fmzwenyiul3u,807897,2024-06-08,510011,1,1001846
pj9j0vx4zzhc,808057,2024-02-21,509914,10,1001428
qsv6jp913ukv,801750,2024-12-06,509308,5,1003365
64vdc0qseuow,808692,2024-12-26,508418,3,1001775
pus0f32kp7f5,800945,2025-02-19,500293,10,1000459
88hhqtg7fv1m,801269,2024-01-23,511401,8,1001401
u00mv866yrj1,807671,2023-08-01,505973,8,1002597
zui1scgd9sy4,801070,2024-11-30,515445,4,1002639
1bc38mimo9za,806925,2024-03-26,512657,4,1003045
pmgpjterk3bc,800590,2024-12-31,519752,10,1000550
806cb8h16ewo,801135,2025-02-21,503407,6,1003515
q0jlmhgn7oup,800355,2025-02-05,519557,5,1004038
x2qyjm9bydt8,805755,2023-09-20,512999,3,1004209
vs6gh0zxrkcm,801295,2025-04-04,513323,7,1002052
fgaqlhh09orr,804177,2024-11-11,503953,7,1003565
edlfxwjqqs98,802601,2024-11-28,517591,1,1000964
lxjjs95q51e7,809887,2025-03-25,516056,4,1004372
66haj25bbnrm,809376,2024-12-17,515047,10,1002974
itnqoohy9rj5,801244,2025-01-06,518986,6,1003429
ngrx4npaqp67,806476,2024-06-17,519896,8,1002159
pqiw0fzn44g6,809711,2025-03-31,512219,3,1001858
bx5or9ft3cwo,808133,2024-12-07,507623,5,1003771
p3xo26yk779z,806533,2024-11-14,514427,8,1000641
hualnavktfgm,805568,2024-07-14,512556,1,1001220
fj58j9pr8489,802711,2025-02-05,517483,2,1003677
og49t59f5zu3,807173,2024-12-06,506375,1,1003105
t5tz7aaun3wg,800287,2025-04-02,513864,1,1003476
mu87n2d2j8iz,803244,2024-11-16,519893,7,1000165
9nw8pcjwf2gx,800077,2025-01-06,517504,1,1003712
59u4jv4fkkrd,808124,2024-04-11,512158,5,1001570
q2ybgo4h8kkw,806568,2024-11-03,500060,4,1002631
tysld9ctxau7,808525,2024-04-17,515425,6,1001877
b73ib2fpvzpv,801725,2024-09-23,505813,9,1003624
hxgysbmcc78l,809179,2025-02-22,517892,6,1004999
lpe2j9jr81e3,809155,2024-07-07,504479,10,1002898
9le8beara0ag,803058,2023-11-26,504592,7,1002694
3kpfufnxs25k,801175,2025-03-22,513467,4,1004476
h1ms7qx0ao5d,802187,2024-08-07,514630,10,1000477
oi2p0m1il3r1,805474,2023-06-17,508042,8,1003679
ae3mqptf5ypr,800611,2024-11-27,511402,2,1004506
5np6ztj1gi7d,802074,2025-01-21,515510,5,1002851
qn57hqpkesbi,805846,2025-03-06,504182,5,1003137
aekswel9g1w3,808739,2024-12-28,516241,6,1000463
bbtfpb7vd06q,804190,2025-02-02,506761,2,1002279
6ecfvemoxhg0,802903,2024-11-22,513001,1,1004511
mhqvmf5lk9zq,806890,2025-01-22,502817,1,1001712
ax4n618tbqaa,806692,2025-01-05,507461,8,1003701
btuyvghzq29b,802241,2023-12-06,513253,2,1002726
rxvucr0d22v7,804263,2024-08-26,506644,5,1003780
o77i2p0hbm8f,809269,2024-01-26,517228,7,1001332
ujyr1o2udj69,808797,2024-08-26,501599,4,1003390
zdz5giqvpayb,807727,2024-07-21,504087,5,1004368
505w3vke4w4g,807069,2024-04-10,518976,1,1004291
4eavftfsbxxj,801634,2024-10-18,517589,3,1001634
k9r4060lkzo4,808634,2025-02-05,509761,5,1002791
7i5d3s4v2aht,803133,2024-12-28,500649,2,1004079
nrskllc9ozlr,807740,2025-01-15,504917,3,1002699
o1cobpsck1kf,801704,2024-02-24,511540,3,1004446
jxqr21b3c48d,804355,2025-03-30,510167,9,1000001
wtv410pc8405,800427,2024-04-19,508170,5,1003966
rsyftrx270hk,806507,2024-02-03,513515,10,1003289
ld2uf94htjiy,807265,2025-01-28,519026,6,1000868
rjjrwz44uhnr,804057,2025-03-15,515424,8,1002813
9oh2z0mmtuia,803970,2024-07-11,511915,8,1002427
u8lieoo0q21y,805529,2024-08-20,509415,10,1004004
tom6hy2l7u4v,801833,2024-03-17,507645,7,1004302
vg3r0gfm0sdn,803514,2025-02-17,502725,7,1004846
x3dtji3g5ddl,801242,2024-05-20,502257,1,1000075
6s8lm79o34i5,807768,2023-11-13,500476,9,1004694
4ggzikvb7qac,803969,2024-11-24,519567,8,1001906
ubmu6nls12n0,804922,2024-04-26,517505,8,1004556
sp8bizo89as5,809654,2024-09-06,501110,1,1004440
710uw19fdprs,808283,2025-02-08,507782,10,1000881
998lusjzsri1,802017,2024-10-08,506685,2,1000579
0n49m9d13lpo,805605,2025-03-31,519936,1,1004828
90mbutxsbno7,809484,2024-09-24,519706,4,1002413
poabp067sa1p,806806,2024-05-06,509043,1,1000368
r2zpjybnm983,804423,2024-09-30,503986,2,1001037
cn9xtgdcmp8z,807279,2025-01-02,517528,4,1002278
